system:index,LST,NDBI,NDVI,.geo
61,47.16799844000002,0.06236154186973859,0.04425597532767926,"{""type"":""Point"",""coordinates"":[39.27726403578565,21.62182546666802]}"
62,43.71579824000003,0.045089003343272795,0.0468894465724475,"{""type"":""Point"",""coordinates"":[39.30594612879154,21.552610593084268]}"
63,28.796140939999987,0.048747377514500805,0.025068156127402087,"{""type"":""Point"",""coordinates"":[39.01622609850854,21.79092007058907]}"
64,41.53510147999998,0.007562137944810661,0.05579842137219186,"{""type"":""Point"",""coordinates"":[39.10548837725569,21.687400291709064]}"
65,48.35063336000002,0.062096058801165886,0.02663337494798169,"{""type"":""Point"",""coordinates"":[39.35805946233456,21.428828987200944]}"
66,46.85695862,0.047989955095873504,0.06413245159141728,"{""type"":""Point"",""coordinates"":[39.101107063615146,21.74835037887755]}"
67,29.68482614000004,0.03278993367631563,0.022073753848169255,"{""type"":""Point"",""coordinates"":[39.00885440464948,21.505646191310685]}"
68,45.11718644000001,-0.030606700875339572,0.13205795563807565,"{""type"":""Point"",""coordinates"":[39.28439524954596,21.748224002800743]}"
69,45.82129856000006,0.05873701626987775,0.045182362547632006,"{""type"":""Point"",""coordinates"":[39.23649546756985,21.740825243811866]}"
70,41.162537300000054,0.019814177916944717,0.05657767326047863,"{""type"":""Point"",""coordinates"":[39.203987752647244,21.790196188606913]}"
71,48.84966428000001,0.04596994917053008,0.05971769815418024,"{""type"":""Point"",""coordinates"":[39.22789795101753,21.30513258208187]}"
72,48.93169676000002,0.053676048964124555,0.07310867352708357,"{""type"":""Point"",""coordinates"":[39.23605288994632,21.34190105010788]}"
73,32.88409286000001,-0.08696592752839373,-0.10663644041427746,"{""type"":""Point"",""coordinates"":[39.106564518284934,21.303400808712826]}"
74,29.42163860000005,0.025491015461763477,0.022294589178356715,"{""type"":""Point"",""coordinates"":[39.033989246770716,21.37028717707857]}"
75,47.52347252000004,0.05594626822086487,0.05576268880119744,"{""type"":""Point"",""coordinates"":[39.38691786755928,21.736711711065052]}"
76,46.877466740000045,0.05550586364539853,0.04042477488573227,"{""type"":""Point"",""coordinates"":[39.25153088076627,21.47907399908278]}"
77,53.44348316000003,0.098711776187378,0.03459401326402581,"{""type"":""Point"",""coordinates"":[39.37470980455705,21.220032089893458]}"
78,46.64845939999998,0.03689268194341778,0.034950895436164066,"{""type"":""Point"",""coordinates"":[39.191974835262506,21.446022187464308]}"
79,48.46342802000004,0.04058243039558627,0.05550341029973093,"{""type"":""Point"",""coordinates"":[39.21587788397609,21.664387394669998]}"
80,49.991282960000035,0.07353084971154786,0.05231008440693025,"{""type"":""Point"",""coordinates"":[39.24580525686562,21.22908721061701]}"
81,29.780530699999986,0.04707363121460038,0.011219447041538667,"{""type"":""Point"",""coordinates"":[39.03247571965955,21.66190701671353]}"
82,29.54126930000001,0.024885237980188452,0.009063066441652603,"{""type"":""Point"",""coordinates"":[39.120008005120376,21.460792166084712]}"
83,29.725842380000017,0.03379746059007545,0.028534116878876917,"{""type"":""Point"",""coordinates"":[39.037881051450924,21.664339048344715]}"
84,29.54468731999998,0.0362404425933984,0.03009766792904126,"{""type"":""Point"",""coordinates"":[39.033422106040376,21.343753947968636]}"
85,29.763440600000024,0.03225409331527761,0.022103757638798596,"{""type"":""Point"",""coordinates"":[39.02562064206591,21.61633612354893]}"
86,29.52759722000002,0.03310773733308944,0.023559026657200027,"{""type"":""Point"",""coordinates"":[39.03581409167174,21.737316489178806]}"
87,47.882364619999976,0.032021143413548475,0.058952430227957514,"{""type"":""Point"",""coordinates"":[39.158322416146945,21.713786785610456]}"
88,52.35997082000006,0.09521188772702256,0.03452418409084408,"{""type"":""Point"",""coordinates"":[39.38486645481102,21.205747231412534]}"
89,49.21539242000006,0.07091543513957307,0.04565273887557391,"{""type"":""Point"",""coordinates"":[39.262368840780674,21.249949636753367]}"
90,39.43985522000003,-0.008741804558226662,0.04613890237979602,"{""type"":""Point"",""coordinates"":[39.1836081595564,21.53551889191081]}"
91,47.731971740000006,0.052217573221757324,0.03550422088806266,"{""type"":""Point"",""coordinates"":[39.39442834070973,21.772456198211305]}"
92,51.92930030000002,0.10573297983606159,0.03712270803949224,"{""type"":""Point"",""coordinates"":[39.359029828227726,21.231778029106025]}"
93,42.50581915999999,0.07618455415993036,0.036270297416438814,"{""type"":""Point"",""coordinates"":[39.19915257851301,21.457311916499965]}"
94,29.29858988000001,0.039965408610785104,0.01974936027819697,"{""type"":""Point"",""coordinates"":[39.03977994201348,21.27674692152376]}"
95,29.756604560000028,0.0322463768115942,0.0125734504328047,"{""type"":""Point"",""coordinates"":[39.11245679820657,21.43228306016571]}"
96,47.451694100000054,0.04342813220599539,0.06357781643927601,"{""type"":""Point"",""coordinates"":[39.15267477657682,21.7158465621244]}"
97,29.510507120000057,0.04577924094664265,0.021273766786331604,"{""type"":""Point"",""coordinates"":[39.017830907272966,21.415609736576105]}"
98,50.53133012000001,0.0207744243753246,0.06770276222236205,"{""type"":""Point"",""coordinates"":[39.32334315978105,21.375915164786697]}"
99,29.520761180000022,0.03330104141438605,0.016554183114733223,"{""type"":""Point"",""coordinates"":[39.07317413801302,21.40467518434758]}"
100,29.56861346000005,0.039282921253684655,0.024308896158039894,"{""type"":""Point"",""coordinates"":[39.0552078043362,21.28533415430547]}"
101,45.995617580000044,0.03525395797775293,0.046709875163628234,"{""type"":""Point"",""coordinates"":[39.244777868531486,21.657167693657247]}"
102,29.82154694000002,0.06976169897518213,0.006680919294494923,"{""type"":""Point"",""coordinates"":[39.10882406064285,21.25462194906639]}"
103,46.24855106000001,0.05425105720008903,0.052380657544424496,"{""type"":""Point"",""coordinates"":[39.22916845603359,21.794250692536732]}"
104,46.20411680000001,0.00710705892346462,0.07379960803527683,"{""type"":""Point"",""coordinates"":[39.08106598154421,21.756291821255108]}"
105,47.472202219999986,0.06171041383022512,0.037387103549674436,"{""type"":""Point"",""coordinates"":[39.28924317602957,21.787150496807957]}"
106,29.893325360000006,0.02823215800315037,0.027612274969568838,"{""type"":""Point"",""coordinates"":[39.087225006190685,21.51412190010852]}"
107,29.503671080000004,0.04538727183029107,0.015015408825650778,"{""type"":""Point"",""coordinates"":[39.001024139476485,21.435897577035245]}"
108,43.196259199999986,0.007659494237703565,0.050051123469413206,"{""type"":""Point"",""coordinates"":[39.13547173151599,21.254200180260735]}"
109,45.78711836000002,0.06691064348886856,0.045195231100331364,"{""type"":""Point"",""coordinates"":[39.3751452278119,21.748748008545896]}"
110,29.650645940000004,0.03261200853398354,0.02169574454387433,"{""type"":""Point"",""coordinates"":[39.064933621451345,21.46712927137004]}"
111,42.32124608000004,0.022106945742980368,0.041801882851910166,"{""type"":""Point"",""coordinates"":[39.244705443543324,21.456661424594216]}"
112,46.798852280000006,0.058522561153883636,0.03932221624529317,"{""type"":""Point"",""coordinates"":[39.14316868746226,21.26831186807002]}"
113,49.59479264000004,0.03877290157648061,0.04033202085772055,"{""type"":""Point"",""coordinates"":[39.388306900116326,21.385550835971248]}"
